PageNumber,Year,Title_TR,Title_EN,Abstract_TR,Abstract_EN,Keywords_TR,Keywords_EN
146,2021-2022,Gerçek Zamanlı Veri Toplama Alt Yapısı,Real-Time Data Collection Infrastructure,"Günümüzde 5G ve endüstri 4.0 vb. teknolojilerin gelişimi ile beraber farklı endüstriyel uygulamalarda veri üretimi hızla artmaktadır. Bununla birlikte bu verilerin toplanması ve işlenmesi de önemli hale gelmiştir. Bu konunun önemli olduğu alanlardan bir tanesi de dijital ikiz uygulamalarıdır. Bu çalışma ile verileri gerçek zamana yakın bulut tabanlı olarak toplayıp depolayabilen, aynı zamanda söz konusu verilerin görselleştirilebildiği bir veri toplama alt yapısı tasarımı ele alınmıştır.","Today, with the development of 5G and industry 4.0, data generation is more than ever. The amount of data produced per person increases logarithmically. However, the collection and processing of this data has become important in many industries. One of the areas where this issue is important is digital twin applications. With this study, a data collection infrastructure was designed that can collect and store data close to real time and at the same time visualize the collected data.","Dijital İkiz, Veri Yönetimi, Veri Görselleştirme, Gerçek Zamanlı Veri Toplama","Digital Twin, Data Management, Data Visualization, Real-Time Data Collection"
150,2021-2022,"Görsel Algılama ve Atalet Algılama Yöntemlerini Kullanabilen Bir Mikro Hava Aracının İnşası, Kontrol ve Otonom Yön Bulma Sistemi","Building, Control and Autonomous Navigation of a Micro Aerial Vehicle Using Visual and Inertial Sensing","Bu çalışmanın amacı, iyi tanımlanmış, kontrollü bir iç mekân ortamında platforma monteli bilgisayar kaynaklarını kullanarak, çevrimiçi durum kestirimi, kontrol ve otonom seyrüsefer yapabilen, bir Atalet Ölçüm Birimi (IMU), aşağı bakan bir kamera ve tek ışınlı bir yükseklik sensöründen oluşan bir sensör paketi ve hesaplama cihazlarıyla donatılmış küçük bir dikey iniş-kalkış platformunun üretimi ve yazılımının geliştirilmesidir. Bilgisayar destekli modelleme, üretim, algoritma geliştirme, sistem entegrasyonu ve deney aşamalarından meydana gelen bu proje, kontrol, seyrüsefer ve durum kestirim algoritmalarını uygulamak için gerekli teorik materyallerin öğrenilmesini de kapsamaktadır. Platform gövdesi, iniş takımları ve sensör montaj parçaları gibi mekanik parçalar satın alınmış veya 3B yazıcılar kullanılarak üretilmiştir. Ancak motorlar, elektronik hız kontrolörleri, otopilot sistemleri ve bilgisayarlar gibi elektronik parçalar satın alınmıştır. Bu parçaların en iyi kombinasyonunun seçimi ise, platformun toplam uçuş süresi, agresiflik seviyesi, azami yük kapasitesi gibi parametreler göz önünde bulundurularak proje ekibi tarafından yapılmıştır. Durum kestirim algoritması, AprilTag adı verilen bir dizi kare etiketin laboratuvar zeminine sabitlenmesi, algılanması ve eş zamanlı olarak konumlandırılması ve haritalanması prensibi (Simultaneous Localization and Mapping, SLAM) ile çalışmaktadır. SLAM ve otonom seyrüsefer uygulamalarının gerçek zamanlı koşması gereksinimi nedeniyle, tüm hesaplamaların platformda çalıştırılması ve C++ programlama dili kullanılmıştır. Bu proje, kapalı bir laboratuvar ortamında, GPS sinyalleri olmaksızın çalışabilmesi ile benzerlerinden ayrılmaktadır. Ayrıca, Havacılık Robotiği ile ilgili çalışmalar için deneysel bir düzenek sağlamaktadır.","The purpose of this study is the production and software development of a small vertical take-off and landing platform which is equipped with a sensor package consisting of Inertial Measurement Unit (IMU), a downward facing camera and a single-beam height sensor and calculation devices and can perform online state estimation, control and autonomous navigation in a well-defined, controlled interior environment by using platform-mounted computer resources. This project which consists of computer-aided modeling, manufacturing, algorithm development, system integration and experimental phases, includes learning the theoretical materials necessary to implement control, navigation and state estimation algorithms. Mechanical parts such as platform body, landing gear and sensor mounting parts were purchased or manufactured using 3D printers. However, electronics such as motors, electronic speed controllers, autopilot systems and computers were purchased. The choice of the best combination of these parts were made by the project team, taking into account the total flight time, aggressiveness level, maximum load capacity of the platform. The state estimation algorithm works with the principle of fixing to the laboratory floor, detecting and simultaneously positioning and mapping (Simultaneous Localization and Mapping, SLAM) of a series of square labels called AprilTag. Due to the need for SLAM and autonomous navigation algorithms to run in real time, all calculations must be run on the platform and the C++ programming language were used. This project is separated from its counterparts with its ability to operate without GPS signals in a closed laboratory environment. In addition, it also provides an experimental mechanism for studies on Aerial Robotics.","Durum Kestirimi, Kontrol, Otonom Seyrüsefer, Bilgisayar Görmesi","State Estimation, Control, Autonomous Navigation,"
156,2021-2022,"Güç Hatları için Pasif Bileşenlerle EMI Filtre Tasarımı, Üretimi ve Performans Testinin Gerçekleştirilmesi","EMI Filter Design, Manufacturing and Performance Testing with Passive Components for Power Lines","EMI (Elektromanyetik Girişim), elektrikli ve elektronik cihazların performansında azalmaya, bozulmaya veya arızaya neden olan her türlü sinyal olarak tanımlanabilir. Bu bozulma radyasyon veya iletim yoluyla yayılabilir. İletilen gürültüyü bastırmak için güç hattına takılan EMI filtrelerin kullanımı her geçen gün artmaktadır. Bu nedenle, bu çalışmada, güç kaynağı sebebiyle ortaya çıkan ortak ve diferansiyel mod gürültüleri bastırmak için pasif DC EMI filtre incelenmiştir. Tasarlanacak olan bu filtre, maksimum güç tüketimi 50 Watt olan ve 28V DC ile beslenen ekipmanın güç hattına yerleştirileceğinden askeri havacılık sektöründe kullanılması öngörülmektedir. Bu nedenle filtrenin monte edildiği ekipmanın MIL-STD- 461G standardında belirtilen CE102 testinden geçmesi gerekir. Bu çalışma sonucunda, pasif devre elemanları kullanılarak oluşturulan ve ekipman güç hattına takılan DC EMI filtre sayesinde istenilen gürültü bastırma performansı elde edilmiştir.","EMI (Electromagnetic Interference) can be defined as any kind of disturbance or sign that causes reductions in the performance, deterioration or malfunction of electrical and electronic devices. This disturbance can be propagated by radiation or conduction. The use of EMI filters installed in the power line to suppress conducted noise is increasing day by day. Therefore, in this paper, passive DC EMI filter has been studied to suppress both common and differential mode noises originating from the power supply. Due to the fact that this filter to be designed will be placed in the power line of the equipment, which has a maximum power consumption of 50 Watts and supplied with 28V DC, it is foreseen to be used in the military aviation industry. For this reason, the equipment on which the filter is installed must pass the CE102 test specified in the MIL-STD_461G standard. As a result, the desired noise suppression performance was achieved with the help of the EMI filter installed in the power line of the equipment, which was created using passive circuit elements.","elektromanyetik girişim, EMI filtre, ortak- diferansiyel mod, gürültü, MIL-STD-461G, güç hattı","electromagnetic interference, EMI filter, common mode- differential mode, noise, MIL-STD-461G, power line"
164,2021-2022,Hareketli Winglet Tasarımı ve Aerodinamik Analizi,Morphing Winglet Design and Aerodynamic Analysis,Bu çalışmada Onera M6 kanadı üzerine farklı uçuş rejimlerinde aerodinamik verimliliği artırmak için değişken cant açılı winglet tasarımı yapılmıştır. Bu wingletlerin aerodinamik analizleri yapılmış ve hareket yeteneği için bir mekanizma tasarlanmıştır. Wingletler uçağın sonlu kanat yapısından dolayı oluşan kanat ucu girdaplarının olumsuz etkilerini önlemek amacıyla tasarlanmış ek yapısal bileşenlerdir. Çalışmada wingletin cant açısı parametresi bağımsız değişken olarak ele alınmış ve hesaplamalı akışkanlar dinamiği yöntemlerinden Spalart Allmaras türbülans modeli kullanılarak kanadın aerodinamik parametreleri hesaplanmıştır. Bu sayede her uçuş rejimi için wingletlere en uygun cant açısı verilerek tüm uçuşun aerodinamik performans verimliliği artırılabilecektir.,"In this study, a variable cant angle winglet design was made on the Onera M6 wing to increase aerodynamic efficiency in different flight regimes. Aerodynamic analyzes of these winglets were made and a mechanism was designed for their movement skills. Winglets are additional structural components designed to prevent the negative effects of wing tip vortices caused by the finite wing structure of the aircraft. At the scope of the study, the cant angle parameter of the winglet was considered as an independent variable and the aerodynamic parameters of the wing were calculated using the Spalart Allmaras turbulence model, which is one of the computational fluid dynamics methods. In this way, the aerodynamic performance efficiency of the entire flight will be increased by giving the optimum cant angle to the winglets for each flight regime.","Cant Açısı, Hesaplamalı Akışkanlar Dinamiği, Hareketli Winglet, Kanat Ucu Girdabı, Onera M6.","Cant Angle, Computational Fluid Dynamics, Morphing Winglet, Onera M6, Wing-Type Vortices."
170,2021-2022,Hava Aracı Aksesuar Dişli Kutusu Tasarımı,Aircraft Accessory Gearbox Design,"Bu projenin temel amacı bir Uçak Aksesuar Şanzıman tasarlamaktır. Uçaklarda aksesuar dişli kutuları; Hidrolik pompa, jeneratör gibi ekipmanların ihtiyaç duyduğu mekanik gücü motordan ilgili ekipmanlara istenilen hız aralıklarında iletirler. Diğer bir işlevi ise 'Hava Türbini Marş'tan veya eşdeğer ekipmandan alınan yükü motorun çalıştırılması için motora iletmektir. Bu işlevleri yerine getirmek için dişliler, miller, yataklar, kamalar ve bu elemanları bir arada tutmak için yuva yapıları gibi makine elemanları kullanılarak bir dişli kutusu tasarlamaya ihtiyaç vardır. Bu tasarım projesi kapsamında, gereksinimleri TUSAŞ tarafından belirlenen teorik bir Hava Aracı Aksesuar Dişli Kutusu tasarlanmıştır. Bu proje kapsamında dişli, mil, yatak, şaft dişi gibi makine elemanlarının ve bu elemanları bir arada tutacak yuva yapılarının kullanıldığı bir dişli kutusu tasarımına ihtiyaç vardır. Belirlenecek güç, hız, dayanım ve yağlama gereksinimleri doğrultusunda makine elemanlarının tasarımı ve seçimi, gövde tasarımı, yağlama ve soğutma sistemi tasarımı gibi alt başlıklar altında özenle çalışmalar yapılmıştır. Genel olarak havacılık uygulamalarında, sektörde elde edilen verilere göre güvenlik faktörü 1,5 ile 2,5 arasında kullanılmaktadır, bu nedenle tasarımımız boyunca projede yaklaşık olarak 2'lik bir güvenlik faktörü kullanılmıştır. Bu, hesaplamalarımıza ve Sonlu Elemanlar Analizi yapılmıştır. Ayrıca, gerektiğinde Matlab gibi programlar kullanılarak mekanizmayı anlamak ve tasarlamak için simülasyonlar yapılmıştır. Halihazırda piyasada bulunan ürünler, pratik örnekler elde etmek ve tasarımımızda olası kullanımları değerlendirmek için karşılaştırmalar yapılmıştır.","The main objective of this project is to design an Aircraft Accessory Transmission. Accessory gearboxes in aircraft; They transmit the mechanical power required by equipment such as hydraulic pumps and generators from the engine to the related equipment at desired speed ranges. Another function is to transmit the load from the 'Air Turbine Starter' or equivalent equipment to the engine for engine starting. To fulfill these functions, there is a need to design a gearbox using machine elements such as gears, shafts, bearings, splines and housing structures to hold these elements together. Within the scope of this design project, a theoretical Accessory Gear Box whose requirements were determined by TAI was designed. Within the scope of this project, there is a need for a gearbox design in which machine elements such as gears, shafts, bearings, spline and housing structures to hold these elements together are used. In line with the power, speed, strength and lubrication requirements to be determined, careful studies were carried out under sub-headings such as the design and selection of machine elements, body design, lubrication and cooling system design. Generally, in aviation applications, the safety factor is used between 1.5 and 2.5 according to the data obtained in the sector, therefore, a safety factor of approximately 2 was used throughout our design in the project. This is based on our calculations and Finite Element Analysis. In addition, simulations were made to understand and design the mechanism using programs such as Matlab when necessary. Comparisons were made with products currently on the market to obtain practical examples and to evaluate possible uses in our design.","Dişli Kutusu, Dişli, Mil, Şaft Dişi, Güvenlik Faktörü",component; formatting; style; styling; key words.
176,2021-2022,Hava Aracı Aksesuar Dişli Kutusu Tasarımı,Airframe Mounted Accessory Drivetrain,"Hava aracındaki aksesuar dişli kutusu (AMAD); hidrolik pompalar, jeneratörler gibi ekipmanların ihtiyaç duyduğu mekanik gücü, talep edilen hız aralıklarında motordan ilgili ekipmanlara iletirler. Bir diğer fonksiyonları da 'Air Turbine Starter (ATS)' veya muadil ekipmanlardan alınan yükü motorun başlatılması için motora iletmektir. Verilen güç, hız, mukavemet ve yağlama gereksinimleri doğrultusunda makine elemanlarının tasarlanması ve seçimi, mahfaza tasarımı, yağlama ve soğutma sistemi tasarımı gibi alt başlıklar halinde çalışmalar yürütülmüştür.","The accessory gearbox on the aircraft (AMAD); it transmit the mechanical power needed by equipment such as hydraulic pumps and generators from the engine to the related equipment at the requested speed ranges. Another function is to transmit the load received from the 'Air Turbine Starter (ATS)' or equivalent equipment to the engine for engine starting. In line with the given power, speed, strength and lubrication requirements, studies were carried out under sub-titles such as design and selection of machine elements, housing design, lubrication and cooling system design.",hava aracı; dişli kutusu; aksesuar; dişli; gerilme; yağlama.,amad; gearbox; drivetrain; accessory; gear; stress; lubrication.
182,2021-2022,Hava Aracı Aksesuar Dişli Kutusu Tasarımı,Airframe Mounted Accessory Gearbox Design,"Dişli kutuları, otomotiv gibi ağır sanayi kuruluşlarının yanı sıra ufak ölçekli üretim yapan fabrikalardan asansörlere robotlardan vinç sistemlerine ve otomasyon sistemlerine kadar çok geniş bir yelpazede kullanılan önemli elemanlardır. Kullanım alanı oldukça geniş olan dişli kutuları tüm sistemi içine alan ve yağlama için hazne görevi gören gövde ile gövde içerisinde bulunan dişli çarklar, miller, rulmanlı yataklar ve bağlama elemanlarından oluşmaktadır. Dişli kutuları mekanik sistemlerde torku ve hızı değiştirmek için kullanılır. Bu çalışmada bir 3 kademeli dişli kutusu tasarımı gerçekleştirilmiştir. Dişli kutusu elemanlarının mekanik tasarım süreci detaylı bir şekilde verilmiş olup bu süreçte, gerekli kısımlarda, kullanılan bilimsel yöntemler de açıklanmıştır. Daha sonra dişli kutusu elemanlarının analizleri yapılmıştır. Tasarım süreci teknolojik gelişmelere dikkat edilerek ve maliyet optimum düzeyde tutularak tamamlanmıştır.","Gear boxes are important elements used in a wide range of industries such as automotive, as well as small-scale factories, elevators, robots, crane systems and automation systems. Gearboxes, which have a very wide usage area, consist of the body, which includes the whole system and serves as a reservoir for lubrication, and the gear wheels, shafts, roller bearings and fasteners in the body. Gearboxes are used in mechanical systems to change torque and speed. In this study, a 3-stage gearbox design is developed. The mechanical design process of the gearbox elements is given in detail and the scientific methods used in this process are also explained Then the analyzes of the gearbox elements are made. The design process is completed by paying attention to technological developments and keeping the cost at an optimum level.","Aksesuar Dişli kutusu,şaft,dişli","Accessory Gearbox,shaft, gear"
186,2021-2022,Havacılık Sektöründe Kullanılan Alüminyum Alaşımlarının EKAP Yöntemi ile Termomekanik Olarak İyileştirilmesi,Thermomechanical Improvement of Aluminum Alloys Used in Aviation Industry by ECAP Processing,"Bu çalışmada, havacılık sektöründe sıklıkla kullanılan 6061 ve 7075 alaşımlarına EKAP ve ısıl işlem uygulayarak termomekanik bir iyileştirme yapılmıştır. Ardından, bu termomekanik iyileştirmeler sertlik, çekme ve çentik darbe testleri ile mekanik olarak karakterize edilmiştir. Bc ve C rotalarında uygulanan çift paso EKAP işlemi ile birlikte her iki seride de önemli iyileşmeler tespit edilmiştir. Tek eksenli çekme testinde 7075 alaşımı için çözeltiye alınmış numunenin akma dayanımı EKAP sonrası yaklaşık iki katına çıkmıştır. Ardından yapılan ısıl işlem ile beraber akma ve çekme dayananımında iyileşmeler gözlemlenmiştir. Bu artışların yanında süneklik değerleri de ısıl işlem ile beraber artmıştır. Bu iyileşme çentik darbe gibi dinamik yük altında gözlem- lenememiştir. Bu çalışma kapsamında elde edilen sonuçlar ile birlikte, EKAP + ısıl işlem uygulanan alaşımların sünekliğinde azalma olmaksızın akma ve çekme gerilimlerini arttırabileceği görülmektedir.","In this study, a thermomechanical improvement was made by applying ECAP and heat treatment to 6061 and 7075 alloys, which are frequently used in the aviation industry. Then, these thermomechanical improvements were mechanically characterized by hardness, tensile and notch impact tests. Significant improvements were detected in both series with the double-pass ECAP procedure applied on the Bc and C routes. In the uniaxial tensile test, the yield strength of the sample taken into solution for the 7075 alloy increased approximately twice after ECAP. With the subsequent heat treatment, improvements in yield and tensile strength were observed. In addition to these increases, the ductility values also increased with the heat treatment. This improvement could not be observed under dynamic loading such as notch impact. The results obtained within the scope of this study show that post-ECAP heat treated alloys exhibit increased yield and tensile stresses without reducing their ductility.","Alüminyum Alaşımları, 7075, 6061, Aşırı Plastik Deformasyon, EKAP, Mekanik Karakterizasyon","Aluminum Alloys, 7075, 6061, Severe Plastic Deformation, ECAP, Mechanical Characterization"
192,2021-2022,Havacılıkta Kullanılan Isı Değiştiricilerinde Isı Transferinin ve Basınç Kaybına Etkisinin Had Kodlarıyla Sayısal Olarak İncelenmesi,Numerical Investigation of Heat Transfer and Pressure Loss In Aviation Heat Exchangers with Cfd Code,"Isı değiştiriciler birçok farklı sektörde farklı tiplerde kullanılmaktadır. Isı değiştiricilerin tasarımı oldukça önemli ve kritik olabilmektedir. Bu doğrultuda bu tez çalışmasında, havacılık özelinde kullanılan, uçak çevre kontrol sisteminde bulunan hava-hava akışkanları ile çalışan ve sınır şartları önceden belirlenen bir ısı değiştiricinin tasarlanması ve sayısal olarak incelenmesi üzerine çalışmalar yürütülmüştür. Çalışmada, öncelik yüksek verimli bir ısı değiştiricisi tasarlanması ve çeşitli HAD analizleri ile tamamlanması olarak belirlenmiştir. Tasarlanan ve sayısal olarak analiz edilen ısı değiştiricisinin maksimum dış boyutları 314mmx153.2mmx100mm ölçülerinde olmuştur. Sınır koşulları olarak sıcak hava giriş sıcaklığı 400°C, sistemden hava çıkış sıcaklığı 70°C olarak belirlenmiştir. Bunun yanı sıra sistem, 70-101 psia basınçları arasında çalışmaktadır. Proje kapsamında söz konusu boyut ve giriş/çıkış sıcaklıklarını sağlayacak ısı değiştirgeci ısı transfer yüzeylerinin boyutları, geometrisi vb. hususlar için tasarlanmış ve analiz edilmiştir. Geliştirilen tasarımın, HAD analizleri, FLOEFD ticari yazılımı yardımıyla tam uyarlamalı ve otomatik bir mesh algoritması kullanılarak yapılmıştır. Proje sonunda ilgili şartların sağlandığı yeni bir ısı değiştiricisi tasarımı elde edilmiştir.","Different types of heat exchangers are used in many different sectors. The design of heat exchangers can be very important and critical. In this direction, in this thesis, studies were carried out on the design and numerical analysis of a heat exchanger, which is used in aviation, working with air-to- air fluid in the aircraft environmental control system and whose boundary conditions have been determined. The priority in the study was determined as the design of a high efficient heat exchanger and the completion of various CFD analyzes. The maximum external dimensions of the heat exchanger to be designed and analyzed numerically were 314mmx153.2mmx100mm. The air inlet temperature was set as 400°C and the air outlet temperature from the system as 70°C as the boundary conditions. In addition, the system operates between 70-101 psia pressures. Within the scope of the project, the heat exchanger that will provide the said size and inlet/outlet temperatures, the dimensions, geometry of the heat transfer surfaces, etc. has been designed and analyzed. CFD simulations were carried out by different designs for the issues. CFD analyzes of the developed design were performed using a fully adaptive and automatic mesh algorithm with the help of commercial software FLOEFD. Finally, a new heat exchanger design was made in which the relevant conditions were met.","Isı Değiştiricisi, HAD, Tasarım, Analiz, Havacılık","Heat Exchangers, CFD Analysis, Design, Analysis,"
198,2021-2022,Helikopter ile Hareketli Gemi Güvertesine Otonom Şekilde İniş,Autonomous Landing on a Moving Ship Deck by Helicopter,"Bu çalışmada, döner kanatlı hava araçlarına, otonom hareket kabiliyeti kazandırmak için gerekli olan seyrüsefer ve kontrol algoritmalarının geliştirilmesine odaklanılmıştır. Bahsedilen araçların dinamik modellerinin eldesi ise çalışmanın kapsamı ve hedefi dışında bırakılmıştır. Bu amaçla, seyrüsefer ve kontrol algoritmaları MATLAB / Simulink nümerik hesaplama programı kullanılarak oluşturulmuştur. Dinamik sistem modeli ise açık kaynak uçuş simülatörü olan FlightGear ortamında koşturulmuştur. Bu iki program, aralarında sağlanan veri transferi ile koordineli olarak çalıştırılmış ve benzetim sonuçları elde edilmiştir. Seyrüsefer kısmında, bulunulan nokta ile hedef noktaları doğru parçaları veya türevlenebilir eğriler ile birleştiren farklı düzergahlar tayin edilmiş, her iki yaklaşım için katedilen toplam mesafe, ortalama hız, maksimum hız gibi istatistiki veriler ile karşılaştırmalar yapılmıştır. Kontrol kısmında ise, ileri yönlü hız, yanal hız, dönüklük açısı ve irtifa değişkenlerini istenilen değerlerde tutan çok döngülü oransal (P) ve oransal-integral (PI) tipi kompansatörler oluşturulmuştur. Elde edilen algoritmalar, Atatürk Havalimanının 35L - 17R - 17L- 35R pistlerinin başlangıç ve bitiş noktalarının dolaşıldığı ve Marmara Denizinde seyir halinde olan muhrip sınıfı savaş gemisinin helikopter pistine iniş yapıldığı iki ayrı senaryo kullanılarak test edilmiştir.","In this study, it is focused on the development of navigation and control algorithms necessary for providing autonomous path tracking ability to rotary wing aircrafts. Obtaining mathematical model for this dynamic system has been excluded from the scope and target of the study. For this purpose, navigation and control algorithms are created by using MATLAB / Simulink numerical computation software. Besides, the dynamic system model of the rotary wing aircraft is run in FlightGear environment, which is an open-source flight simulator. By using co-simulation approach and by providing data exchange between them, these two programs are operated synchronously and simulation results are obtained cooperatively. In the navigation part, different routes connecting the current and target coordinates with line segments or differentiable curves are generated. The traceability of the resulting routes is compared with statistical data such as total distance travelled, average speed, maximum speed. In the control part, multi-loop proportional (P) and proportional-integral (PI) type compensators are implemented that keep the forward speed, lateral speed, heading angle and altitude variables at their desired values. The simulation model is tested by using two different scenarios; touring the path that is formed by using initial and final points of Atatürk Airport’s 35L - 17R - 17L - 35R runways; chasing and landing to the destroyer class warship that is underway in the Sea of Marmara.","Döner Kanatlı Hava Aracı, Helikopter; Otonom Uçuş, Seyrüsefer, Kontrol, Otopilot, MATLAB, Simulink, FlightGear.","Rotary Wing Aircraft, Helicopter, Autonomous Flight, Navigation, Control, Autopilot, MATLAB, Simulink, FlightGear."
204,2021-2022,Hesaplamalı Aeroakustik Yoluyla Savaş Uçağı Kanopinin Türbülanslı Sınır Tabakası Gürültüsü,Turbulent Boundary Layer Noise of Fighter Aircraft Canopy via Computational Aeroacoustics,"Proje için Türk Hava Kuvvetleri (HvKK) envanterinde bulunan General Dynamics tarafından geliştirilen F- 16 Fighting Falcon (F-16) savaş uçağı seçildi. Seçilen savaş uçağı kanopi geometrisinde gerçek boyutlar kullanılmış olup, detaylı olarak sadeleştirilmiş ve mesh yapısı oluşturmaya uygun hale getirilmiştir. Kanopi geometrisine yapısal olmayan ağ yapısı uygulandı. Hesaplamalar üç farklı Mach değerinde yapıldı. Bu değerler 0.65 Mach, 1.05 Mach ve 1.45 Mach'tır. Her Mach değeri için aerodinamik ve karakteristik özellikler farklı olduğundan hesaplamalar ayrı ayrı yapıldı. Bu hesaplamalar sonucunda üç farklı mesh seçeneği oluşturuldu ve hesaplamalarda her Mach değerine uygun mesh yapısı kullanıldı. Her bir Mach değeri için de üç farklı türbülans modeliyle çözüm gerçekleştirildi. Bu türbülanslı modelleri, Wilcox k-ω, Shear Stress Transform (SST) k-ω Reynolds Average Navier Stokes (RANS) modelleri; ve Deatched-Eddy Simulation (DES) modelidir. Aeroakustik sinyaller için kararsız Hesaplamalı Akışkanlar Dinamiği (HAD) sonuçları kullanıldı. Aeroakustik sonuçlar, Ffowcs Williams- Hawkings (FW-H) ve Fasr-Fourier Transfer (FFT) son işleme yöntemleri kullanılarak elde edildi. Daha sonra aynı noktalar için bu iki farklı son işleme yönteminden elde edilen hesaplama sonuçları karşılaştırıldı.","F-16 Fighting Falcon (F-16) fighter aircraft developed by General Dynamics , which is in the Turkish Air Force (TAF) inventory, has been selected for the project. Real dimensions are used in the selected fighter aircraft canopy geometry, and it was simplified in detail and made suitable for creating a mesh structure. Unstructural mesh structure is applied on canopy geometry. Computations are performed at three different Mach values. These values are Mach 0.65, Mach 1.05, and Mach 1.45. Since aerodynamic and characteristic properties are different for each Mach value, calculations are made separately. As a result of these calculations, three different mesh types are created and the mesh structure suitable for each Mach value is used in the computations. Three different turbulent models are performed for each Mach value. These turbulent models are Wilcox k-$\omega$, Shear Stress Transport (SST) k- $\omega$ Reynold Average Navier Stokes (RANS) models; and Detached-Eddy Simulation (DES) model. Unsteady Computational Fluids Dynamics (CFD) results are used for aeroacoustic signals. Aeroacoustic results are obtained using the Ffowcs Williams-Hawkings (FW-H) and Fast-Fourier Transfer (FFT) post processing methods. Then, the computation results obtained these two different post processing methods for the same points are compared.","HAD, HAA, RANS, DES, k-ω, SST k-ω, Ffowcs Williams-Hawkings, Fast-Fourier Transform, F-16, Kanopi, Türbülans","CFD, CAA, RANS, DES, k-ω, SST k-ω, Ffowcs Williams-Hawkings, Fast-Fourier Transform, F-16, Canopy, Turbulent"
210,2021-2022,Isı Değiştirici Parametrelerinin Isı Transferi,ve Basınç Kaybına Etkisinin İncelenmesi ve Optimizasyonu Investigation and Optimization of Effects of Heat Exchanger Parameters on Heat Transfer and Pressure Loss,"Isı transferi, makinelerin, cihazların ve endüstriyel süreçlerin işlevlerini sürdürmeleri ve daha iyi ürün kalitesi elde edilmesi için önemlidir. Bu nedenle, uygulamadaki işlem veya cihaz ısısının uzaklaştırılması ve istenen çalışma sıcaklıklarında kalabilmesi için farklı tipte ısı değiştiricileri kullanılmaktadır. Bununla birlikte, bir ısı değiştiricinin boyutu, makinenin/cihazın veya işleme tesisinin boyutuna karar verdiğinden, herhangi bir işlem veya cihaz türü için önemli bir husustur. Bu çalışma, bir ısı değiştiricinin tasarımını teorik olarak ve ardından performansını optimize etmek için Hesaplamalı Akışkanlar Dinamiği (HAD) ile sayısal olarak incelemeyi amaçlamaktadır. Tasarım amacıyla, çapraz akışlı bir ısı değiştiricisi ele alınmış ve ısı değiştiricisinin boyutları 𝜀𝜀𝜀-NTU yöntemiyle hesaplanmıştır. Daha sonra aynı ısı değiştiricinin ANSYS Fluent ile bir HAD modeli geliştirilmiş ve optimizasyon amacıyla parametreleri değiştirilerek beş farklı modele genişletilmiştir. Ayrıca bu modeller, ısı değiştiricisi içindeki bütünleşik ısı transferini ve hidrodinamik açıdan basınç düşüşlerini incelemek için kullanılmıştır. Bu çalışmada optimizasyon için plakalı kanatlı tip kompakt ısı değiştiricisi ele alınmıştır. Optimizasyon amacıyla 5 farklı model incelenmiştir. Optimizasyon sürecinde sürtünme ve Colburn faktörlerinin değişimleri gözlemlenmiştir. Genel olarak HAD modellemesi, ısı değiştiricilerinin tasarımı ve optimizasyonu mantıklı ve verimli sonuçlar vermiştir","Heat transfer is one of the most important aspects for machines, devices and industrial processes to maintain their functions and achieve better product quality. Therefore, different types of heat exchangers are used in these applications in order to remove extra process/device heat to keep them at the desired operating temperatures. However, the size of a heat exchanger is an important consideration for any process or type of device, as it determines the size of the machine/device or processing plant. This work aims to theoretically study the design of a heat exchanger, and then use Computational Fluid Dynamics (CFD) to numerically optimize its performance. For design purposes, a cross-flow heat exchanger was considered and its length was calculated by the ε-NTU method. Then, a computational model of the same heat exchanger was developed with ANSYS Fluent and its parameters were changed for optimization purposes and expanded to five different models. In addition, these models were used to analyze conjugate heat transfer and pressure drops as hydrodynamic indicator inside the heat exchanger. In this study, a plate-finned type compact heat exchanger is considered for optimization. The optimization method was performed for 5 different models. In the optimization process, changes in friction and Colburn factors were observed. In general, CFD modeling, design and optimization of heat exchangers gave the efficient and sensible results.","radyatör, HAD, plaka tipli ısı değiştiriciler, şekil optimizasyonu.","radiator, CFD, plate fin heat exchangers, shape"
